N = 365	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.892506	MeanO1 = 0.033799	MeanV2 = 4.875628	MeanO2 = 0.039200	 rate = 0.000000
N = 365	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.885232	MeanO1 = 0.036392	MeanV2 = 4.883401	MeanO2 = 0.036609	 rate = 0.000250
N = 385	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.883126	MeanO1 = 0.036800	MeanV2 = 4.872506	MeanO2 = 0.040201	 rate = 0.000000
N = 385	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.878252	MeanO1 = 0.038419	MeanV2 = 4.882442	MeanO2 = 0.038580	 rate = 0.003625
N = 405	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.880619	MeanO1 = 0.037599	MeanV2 = 4.862497	MeanO2 = 0.043400	 rate = 0.000000
N = 405	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.874161	MeanO1 = 0.040390	MeanV2 = 4.872380	MeanO2 = 0.040612	 rate = 0.001000
N = 425	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.862497	MeanO1 = 0.043400	MeanV2 = 4.868124	MeanO2 = 0.041600	 rate = 0.000000
N = 425	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.865744	MeanO1 = 0.042601	MeanV2 = 4.867128	MeanO2 = 0.042400	 rate = 0.000375
N = 445	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.861260	MeanO1 = 0.043798	MeanV2 = 4.856881	MeanO2 = 0.045198	 rate = 0.000000
N = 445	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.860721	MeanO1 = 0.044391	MeanV2 = 4.858906	MeanO2 = 0.044612	 rate = 0.000500
N = 465	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.842501	MeanO1 = 0.049801	MeanV2 = 4.863123	MeanO2 = 0.043199	 rate = 0.000000
N = 465	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.855117	MeanO1 = 0.046588	MeanV2 = 4.853961	MeanO2 = 0.046413	 rate = 0.002375
N = 485	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.849380	MeanO1 = 0.047602	MeanV2 = 4.843746	MeanO2 = 0.049398	 rate = 0.000000
N = 485	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.846219	MeanO1 = 0.048599	MeanV2 = 4.847644	MeanO2 = 0.048400	 rate = 0.001750
N = 505	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.833751	MeanO1 = 0.052598	MeanV2 = 4.846875	MeanO2 = 0.048401	 rate = 0.000000
N = 505	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.839627	MeanO1 = 0.050400	MeanV2 = 4.840001	MeanO2 = 0.050598	 rate = 0.000125
N = 525	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.834999	MeanO1 = 0.052200	MeanV2 = 4.833121	MeanO2 = 0.052799	 rate = 0.000000
N = 525	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.839382	MeanO1 = 0.052571	MeanV2 = 4.836521	MeanO2 = 0.052425	 rate = 0.004750
N = 545	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.830628	MeanO1 = 0.053601	MeanV2 = 4.825000	MeanO2 = 0.055401	 rate = 0.000000
N = 545	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.832000	MeanO1 = 0.054585	MeanV2 = 4.831141	MeanO2 = 0.054412	 rate = 0.003250
N = 565	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.825622	MeanO1 = 0.055202	MeanV2 = 4.817500	MeanO2 = 0.057800	 rate = 0.000000
N = 565	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.825334	MeanO1 = 0.056369	MeanV2 = 4.821757	MeanO2 = 0.056626	 rate = 0.003000
N = 585	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.823749	MeanO1 = 0.055801	MeanV2 = 4.806877	MeanO2 = 0.061202	 rate = 0.000000
N = 585	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.815589	MeanO1 = 0.058583	MeanV2 = 4.815032	MeanO2 = 0.058413	 rate = 0.001375
N = 605	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.815623	MeanO1 = 0.058399	MeanV2 = 4.802499	MeanO2 = 0.062602	 rate = 0.000000
N = 605	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.808241	MeanO1 = 0.060596	MeanV2 = 4.809384	MeanO2 = 0.060397	 rate = 0.001250
N = 625	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.828757	MeanO1 = 0.054199	MeanV2 = 4.776881	MeanO2 = 0.070801	 rate = 0.000000
N = 625	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.806107	MeanO1 = 0.062366	MeanV2 = 4.802528	MeanO2 = 0.062634	 rate = 0.002750
N = 645	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.800622	MeanO1 = 0.063201	MeanV2 = 4.792503	MeanO2 = 0.065799	 rate = 0.000000
N = 645	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.800334	MeanO1 = 0.064371	MeanV2 = 4.796756	MeanO2 = 0.064635	 rate = 0.003000
N = 665	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.781876	MeanO1 = 0.069200	MeanV2 = 4.798755	MeanO2 = 0.063799	 rate = 0.000000
N = 665	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.789620	MeanO1 = 0.066402	MeanV2 = 4.790002	MeanO2 = 0.066601	 rate = 0.000125
N = 685	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.789374	MeanO1 = 0.066801	MeanV2 = 4.778754	MeanO2 = 0.070201	 rate = 0.000000
N = 685	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.783131	MeanO1 = 0.068619	MeanV2 = 4.786245	MeanO2 = 0.068384	 rate = 0.002375
N = 705	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.773747	MeanO1 = 0.071798	MeanV2 = 4.781876	MeanO2 = 0.069200	 rate = 0.000000
N = 705	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.777752	MeanO1 = 0.070600	MeanV2 = 4.778138	MeanO2 = 0.070401	 rate = 0.000125
N = 725	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.771249	MeanO1 = 0.072601	MeanV2 = 4.771882	MeanO2 = 0.072400	 rate = 0.000000
N = 725	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.774928	MeanO1 = 0.072382	MeanV2 = 4.773116	MeanO2 = 0.072619	 rate = 0.001375
