p = 0.000000	 rate = 0.000002
p = 0.010000	 rate = 0.000420
p = 0.020000	 rate = 0.001469
p = 0.030000	 rate = 0.003096
p = 0.040000	 rate = 0.005240
p = 0.050000	 rate = 0.008091
p = 0.060000	 rate = 0.011429
p = 0.070000	 rate = 0.014976
p = 0.080000	 rate = 0.018897
p = 0.090000	 rate = 0.023164
p = 0.100000	 rate = 0.028849
p = 0.110000	 rate = 0.034795
p = 0.120000	 rate = 0.041271
p = 0.130000	 rate = 0.047890
p = 0.140000	 rate = 0.055446
p = 0.150000	 rate = 0.064116
p = 0.160000	 rate = 0.072828
p = 0.170000	 rate = 0.081878
p = 0.180000	 rate = 0.091599
p = 0.190000	 rate = 0.101532
p = 0.200000	 rate = 0.111717
p = 0.210000	 rate = 0.122496
p = 0.220000	 rate = 0.133717
p = 0.230000	 rate = 0.145439
p = 0.240000	 rate = 0.157551
p = 0.250000	 rate = 0.169452
p = 0.260000	 rate = 0.182067
p = 0.270000	 rate = 0.194975
p = 0.280000	 rate = 0.207752
p = 0.290000	 rate = 0.221365
p = 0.300000	 rate = 0.234583
p = 0.310000	 rate = 0.248410
p = 0.320000	 rate = 0.261775
p = 0.330000	 rate = 0.275282
p = 0.340000	 rate = 0.288747
p = 0.350000	 rate = 0.303653
p = 0.360000	 rate = 0.317082
p = 0.370000	 rate = 0.331346
p = 0.380000	 rate = 0.344496
p = 0.390000	 rate = 0.358955
p = 0.400000	 rate = 0.372955
p = 0.410000	 rate = 0.387340
p = 0.420000	 rate = 0.401186
p = 0.430000	 rate = 0.414607
p = 0.440000	 rate = 0.427781
p = 0.450000	 rate = 0.439809
p = 0.460000	 rate = 0.451501
p = 0.470000	 rate = 0.464255
p = 0.480000	 rate = 0.476530
p = 0.490000	 rate = 0.488707
p = 0.500000	 rate = 0.499411
p = 0.510000	 rate = 0.512514
p = 0.520000	 rate = 0.523678
p = 0.530000	 rate = 0.534163
p = 0.540000	 rate = 0.543306
p = 0.550000	 rate = 0.553293
p = 0.560000	 rate = 0.561872
p = 0.570000	 rate = 0.570426
p = 0.580000	 rate = 0.578177
p = 0.590000	 rate = 0.586056
p = 0.600000	 rate = 0.594093
p = 0.610000	 rate = 0.602347
p = 0.620000	 rate = 0.609839
p = 0.630000	 rate = 0.616326
p = 0.640000	 rate = 0.622304
p = 0.650000	 rate = 0.628480
p = 0.660000	 rate = 0.634139
p = 0.670000	 rate = 0.639582
p = 0.680000	 rate = 0.644514
p = 0.690000	 rate = 0.649425
p = 0.700000	 rate = 0.654449
p = 0.710000	 rate = 0.658913
p = 0.720000	 rate = 0.663846
p = 0.730000	 rate = 0.667619
p = 0.740000	 rate = 0.671649
p = 0.750000	 rate = 0.674929
p = 0.760000	 rate = 0.678190
p = 0.770000	 rate = 0.681360
p = 0.780000	 rate = 0.685317
p = 0.790000	 rate = 0.688886
p = 0.800000	 rate = 0.692034
p = 0.810000	 rate = 0.695183
p = 0.820000	 rate = 0.698767
p = 0.830000	 rate = 0.702852
p = 0.839999	 rate = 0.705314
p = 0.849999	 rate = 0.708476
p = 0.859999	 rate = 0.711777
p = 0.869999	 rate = 0.714266
p = 0.879999	 rate = 0.716738
p = 0.889999	 rate = 0.719599
p = 0.899999	 rate = 0.721097
p = 0.909999	 rate = 0.722744
p = 0.919999	 rate = 0.724413
p = 0.929999	 rate = 0.725689
p = 0.939999	 rate = 0.727038
p = 0.949999	 rate = 0.728020
p = 0.959999	 rate = 0.728827
p = 0.969999	 rate = 0.729444
p = 0.979999	 rate = 0.730158
p = 0.989999	 rate = 0.730493
p = 0.999999	 rate = 0.730587
