p = 0.000000	 rate = 0.000006
p = 0.010000	 rate = 0.000073
p = 0.020000	 rate = 0.003723
p = 0.030000	 rate = 0.010084
p = 0.040000	 rate = 0.020112
p = 0.050000	 rate = 0.032967
p = 0.060000	 rate = 0.048131
p = 0.070000	 rate = 0.066164
p = 0.080000	 rate = 0.085450
p = 0.090000	 rate = 0.106689
p = 0.100000	 rate = 0.133044
p = 0.110000	 rate = 0.163080
p = 0.120000	 rate = 0.192714
p = 0.130000	 rate = 0.226769
p = 0.140000	 rate = 0.262541
p = 0.150000	 rate = 0.304659
p = 0.160000	 rate = 0.349194
p = 0.170000	 rate = 0.393121
p = 0.180000	 rate = 0.441096
p = 0.190000	 rate = 0.489332
p = 0.200000	 rate = 0.540624
p = 0.210000	 rate = 0.592706
p = 0.220000	 rate = 0.648557
p = 0.230000	 rate = 0.706634
p = 0.240000	 rate = 0.765999
p = 0.250000	 rate = 0.827129
p = 0.260000	 rate = 0.888136
p = 0.270000	 rate = 0.951729
p = 0.280000	 rate = 1.017650
p = 0.290000	 rate = 1.083111
p = 0.300000	 rate = 1.150171
p = 0.310000	 rate = 1.218984
p = 0.320000	 rate = 1.286037
p = 0.330000	 rate = 1.354280
p = 0.340000	 rate = 1.421790
p = 0.350000	 rate = 1.493325
p = 0.360000	 rate = 1.562185
p = 0.370000	 rate = 1.632295
p = 0.380000	 rate = 1.699373
p = 0.390000	 rate = 1.771473
p = 0.400000	 rate = 1.840400
p = 0.410000	 rate = 1.911087
p = 0.420000	 rate = 1.982276
p = 0.430000	 rate = 2.051605
p = 0.440000	 rate = 2.118799
p = 0.450000	 rate = 2.178867
p = 0.460000	 rate = 2.238693
p = 0.470000	 rate = 2.299794
p = 0.480000	 rate = 2.362177
p = 0.490000	 rate = 2.423820
p = 0.500000	 rate = 2.479967
p = 0.510000	 rate = 2.543333
p = 0.520000	 rate = 2.604319
p = 0.530000	 rate = 2.652007
p = 0.540000	 rate = 2.702874
p = 0.550000	 rate = 2.752061
p = 0.560000	 rate = 2.793359
p = 0.570000	 rate = 2.840224
p = 0.580000	 rate = 2.879518
p = 0.590000	 rate = 2.918800
p = 0.600000	 rate = 2.957896
p = 0.610000	 rate = 2.998853
p = 0.620000	 rate = 3.037089
p = 0.630000	 rate = 3.069828
p = 0.640000	 rate = 3.102103
p = 0.650000	 rate = 3.134389
p = 0.660000	 rate = 3.165616
p = 0.670000	 rate = 3.191167
p = 0.680000	 rate = 3.215917
p = 0.690000	 rate = 3.241040
p = 0.700000	 rate = 3.264705
p = 0.710000	 rate = 3.285675
p = 0.720000	 rate = 3.313336
p = 0.730000	 rate = 3.332948
p = 0.740000	 rate = 3.352199
p = 0.750000	 rate = 3.369252
p = 0.760000	 rate = 3.386322
p = 0.770000	 rate = 3.403107
p = 0.780000	 rate = 3.422704
p = 0.790000	 rate = 3.439464
p = 0.800000	 rate = 3.456446
p = 0.810000	 rate = 3.472209
p = 0.820000	 rate = 3.489709
p = 0.830000	 rate = 3.510966
p = 0.839999	 rate = 3.523209
p = 0.849999	 rate = 3.538332
p = 0.859999	 rate = 3.554793
p = 0.869999	 rate = 3.568374
p = 0.879999	 rate = 3.581178
p = 0.889999	 rate = 3.595530
p = 0.899999	 rate = 3.603638
p = 0.909999	 rate = 3.611914
p = 0.919999	 rate = 3.620594
p = 0.929999	 rate = 3.627307
p = 0.939999	 rate = 3.634027
p = 0.949999	 rate = 3.639270
p = 0.959999	 rate = 3.643071
p = 0.969999	 rate = 3.646763
p = 0.979999	 rate = 3.650551
p = 0.989999	 rate = 3.652113
p = 0.999999	 rate = 3.652922
