p = 0.000000	 rate = 0.000002
p = 0.010000	 rate = 0.000274
p = 0.020000	 rate = 0.000762
p = 0.030000	 rate = 0.001517
p = 0.040000	 rate = 0.002500
p = 0.050000	 rate = 0.003664
p = 0.060000	 rate = 0.005046
p = 0.070000	 rate = 0.006518
p = 0.080000	 rate = 0.008145
p = 0.090000	 rate = 0.010157
p = 0.100000	 rate = 0.012463
p = 0.110000	 rate = 0.014727
p = 0.120000	 rate = 0.017330
p = 0.130000	 rate = 0.020076
p = 0.140000	 rate = 0.023305
p = 0.150000	 rate = 0.026716
p = 0.160000	 rate = 0.030088
p = 0.170000	 rate = 0.033769
p = 0.180000	 rate = 0.037466
p = 0.190000	 rate = 0.041401
p = 0.200000	 rate = 0.045400
p = 0.210000	 rate = 0.049677
p = 0.220000	 rate = 0.054131
p = 0.230000	 rate = 0.058687
p = 0.240000	 rate = 0.063375
p = 0.250000	 rate = 0.068068
p = 0.260000	 rate = 0.072946
p = 0.270000	 rate = 0.078003
p = 0.280000	 rate = 0.083043
p = 0.290000	 rate = 0.088189
p = 0.300000	 rate = 0.093472
p = 0.310000	 rate = 0.098622
p = 0.320000	 rate = 0.103869
p = 0.330000	 rate = 0.109047
p = 0.340000	 rate = 0.114547
p = 0.350000	 rate = 0.119846
p = 0.360000	 rate = 0.125226
p = 0.370000	 rate = 0.130391
p = 0.380000	 rate = 0.135933
p = 0.390000	 rate = 0.141231
p = 0.400000	 rate = 0.146664
p = 0.410000	 rate = 0.152135
p = 0.420000	 rate = 0.157460
p = 0.430000	 rate = 0.162638
p = 0.440000	 rate = 0.167251
p = 0.450000	 rate = 0.171864
p = 0.460000	 rate = 0.176542
p = 0.470000	 rate = 0.181354
p = 0.480000	 rate = 0.186109
p = 0.490000	 rate = 0.190421
p = 0.500000	 rate = 0.195288
p = 0.510000	 rate = 0.199996
p = 0.520000	 rate = 0.203671
p = 0.530000	 rate = 0.207578
p = 0.540000	 rate = 0.211369
p = 0.550000	 rate = 0.214555
p = 0.560000	 rate = 0.218153
p = 0.570000	 rate = 0.221195
p = 0.580000	 rate = 0.224220
p = 0.590000	 rate = 0.227239
p = 0.600000	 rate = 0.230404
p = 0.610000	 rate = 0.233336
p = 0.620000	 rate = 0.235870
p = 0.630000	 rate = 0.238358
p = 0.640000	 rate = 0.240858
p = 0.650000	 rate = 0.243244
p = 0.660000	 rate = 0.245258
p = 0.670000	 rate = 0.247121
p = 0.680000	 rate = 0.249092
p = 0.690000	 rate = 0.250918
p = 0.700000	 rate = 0.252551
p = 0.710000	 rate = 0.254666
p = 0.720000	 rate = 0.256207
p = 0.730000	 rate = 0.257699
p = 0.740000	 rate = 0.259025
p = 0.750000	 rate = 0.260346
p = 0.760000	 rate = 0.261598
p = 0.770000	 rate = 0.263105
p = 0.780000	 rate = 0.264331
p = 0.790000	 rate = 0.265607
p = 0.800000	 rate = 0.266833
p = 0.810000	 rate = 0.268180
p = 0.820000	 rate = 0.269822
p = 0.830000	 rate = 0.270780
p = 0.839999	 rate = 0.271978
p = 0.849999	 rate = 0.273223
p = 0.859999	 rate = 0.274265
p = 0.869999	 rate = 0.275338
p = 0.879999	 rate = 0.276394
p = 0.889999	 rate = 0.277103
p = 0.899999	 rate = 0.277691
p = 0.909999	 rate = 0.278378
p = 0.919999	 rate = 0.278947
p = 0.929999	 rate = 0.279454
p = 0.939999	 rate = 0.279883
p = 0.949999	 rate = 0.280207
p = 0.959999	 rate = 0.280489
p = 0.969999	 rate = 0.280796
p = 0.979999	 rate = 0.280916
p = 0.989999	 rate = 0.280993
p = 0.999999	 rate = 0.280998
